Date,GLD,GDX,USO
2023-09-29,171.4499969482422,26.168054580688477,80.86000061035156
2023-10-02,169.64999389648438,25.273420333862305,79.38999938964844
2023-10-03,169.16000366210938,25.351213455200195,79.93000030517578
2023-10-04,169.13999938964844,25.19562530517578,75.58999633789062
2023-10-05,168.8300018310547,25.594322204589844,73.98999786376953
2023-10-06,169.6999969482422,26.148605346679688,74.16000366210938
2023-10-09,172.82000732421875,26.780683517456055,77.12999725341797
2023-10-10,172.52999877929688,27.04323959350586,76.70999908447266
2023-10-11,173.7899932861328,27.5391788482666,75.66999816894531
2023-10-12,173.25999450683594,26.975170135498047,75.41999816894531
2023-10-13,178.8300018310547,28.151809692382812,78.98999786376953
2023-10-16,177.9600067138672,28.200429916381836,78.38999938964844
2023-10-17,178.2899932861328,28.715818405151367,78.80000305175781
2023-10-18,180.8699951171875,28.638023376464844,79.83999633789062
2023-10-19,183.08999633789062,28.696367263793945,81.68000030517578
2023-10-20,183.58999633789062,28.66719627380371,80.69999694824219
2023-10-23,182.97000122070312,28.433813095092773,78.88999938964844
2023-10-24,182.9499969482422,28.45326042175293,76.93000030517578
2023-10-25,183.72000122070312,27.98649787902832,78.45999908447266
2023-10-26,184.00999450683594,27.73366355895996,76.88999938964844
2023-10-27,186.14999389648438,28.394916534423828,78.36000061035156
2023-10-30,185.10000610351562,27.976770401000977,76.05000305175781
2023-10-31,184.08999633789062,27.23772621154785,75.0199966430664
2023-11-01,183.50999450683594,27.334970474243164,74.75
2023-11-02,184.1199951171875,27.480833053588867,76.18000030517578
2023-11-03,184.7899932861328,28.657470703125,74.8499984741211
2023-11-06,183.35000610351562,28.346294403076172,74.91000366210938
2023-11-07,182.58999633789062,27.801733016967773,71.80000305175781
2023-11-08,180.77000427246094,26.926549911499023,70.19000244140625
2023-11-09,181.49000549316406,26.82930564880371,70.25
2023-11-10,179.50999450683594,26.498680114746094,71.79000091552734
2023-11-13,180.50999450683594,26.294469833374023,72.91999816894531
2023-11-14,182.1199951171875,27.54890251159668,72.69000244140625
2023-11-15,181.63999938964844,27.412763595581055,71.33999633789062
2023-11-16,183.69000244140625,27.821184158325195,68.05000305175781
2023-11-17,183.6699981689453,27.646146774291992,70.75
2023-11-20,183.3699951171875,27.723939895629883,72.30000305175781
2023-11-21,185.35000610351562,28.404640197753906,72.52999877929688
2023-11-22,184.55999755859375,28.44353675842285,71.61000061035156
2023-11-24,185.52000427246094,28.511606216430664,70.81999969482422
2023-11-27,186.77000427246094,28.96864891052246,69.95999908447266
2023-11-28,189.25999450683594,30.359220504760742,71.26000213623047
2023-11-29,189.5399932861328,30.339773178100586,72.5199966430664
2023-11-30,188.75,30.456464767456055,70.13999938964844
2023-12-01,192.00999450683594,30.932954788208008,69.23999786376953
2023-12-04,187.86000061035156,30.164735794067383,68.47000122070312
2023-12-05,187.14999389648438,29.639623641967773,67.58000183105469
2023-12-06,187.83999633789062,29.58127784729004,64.76000213623047
2023-12-07,188.14999389648438,29.48403549194336,65.11000061035156
2023-12-08,185.63999938964844,28.86168098449707,66.52999877929688
2023-12-11,183.58999633789062,28.735265731811523,66.80000305175781
2023-12-12,183.49000549316406,28.06429100036621,64.25
2023-12-13,187.6300048828125,29.853559494018555,65.33000183105469
2023-12-14,188.72999572753906,30.446739196777344,67.16000366210938
2023-12-15,187.0,30.09666633605957,67.1500015258789
2023-12-18,187.85000610351562,30.373414993286133,68.08999633789062
2023-12-19,189.1300048828125,31.183900833129883,69.36000061035156
2023-12-20,188.10000610351562,30.422836303710938,68.79000091552734
2023-12-21,189.42999267578125,30.986221313476562,69.02999877929688
2023-12-22,190.27000427246094,31.193784713745117,68.69000244140625
2023-12-26,191.72000122070312,31.302509307861328,70.20999908447266
2023-12-27,192.58999633789062,31.608911514282227,68.91999816894531
2023-12-28,191.47000122070312,30.80830955505371,67.18000030517578
2023-12-29,191.1699981689453,30.65016746520996,66.6500015258789
2024-01-02,190.72000122070312,30.20538902282715,65.7699966430664
2024-01-03,189.1300048828125,29.4146728515625,68.19000244140625
2024-01-04,189.32000732421875,29.424556732177734,67.56999969482422
2024-01-05,189.35000610351562,29.424556732177734,69.02999877929688
2024-01-08,187.8699951171875,29.355369567871094,66.4000015258789
2024-01-09,187.92999267578125,28.831518173217773,67.38999938964844
2024-01-10,187.5,28.772214889526367,66.55999755859375
2024-01-11,187.8699951171875,28.554765701293945,67.6500015258789
2024-01-12,189.7100067138672,29.355369567871094,68.0199966430664
2024-01-16,187.91000366210938,28.06056785583496,67.25
2024-01-17,185.83999633789062,27.190780639648438,67.94000244140625
2024-01-18,187.3699951171875,27.269851684570312,69.05999755859375
2024-01-19,187.92999267578125,27.36869239807129,68.81999969482422
2024-01-22,187.22000122070312,27.279735565185547,69.69000244140625
2024-01-23,187.9499969482422,27.90242576599121,69.66000366210938
2024-01-24,186.39999389648438,27.378576278686523,70.54000091552734
2024-01-25,187.13999938964844,27.92219352722168,72.2300033569336
2024-01-26,187.00999450683594,27.744281768798828,73.0999984741211
2024-01-29,188.3300018310547,28.03091812133789,72.05000305175781
2024-01-30,188.58999633789062,27.823352813720703,72.80999755859375
2024-01-31,188.4499969482422,27.61579132080078,70.91999816894531
2024-02-01,190.41000366210938,28.693143844604492,69.06999969482422
2024-02-02,188.61000061035156,27.694862365722656,67.51000213623047
2024-02-05,187.57000732421875,27.04252052307129,68.18000030517578
2024-02-06,188.5500030517578,27.39834213256836,68.80999755859375
2024-02-07,188.5,27.141359329223633,69.41999816894531
2024-02-08,188.3300018310547,26.98321533203125,71.5199966430664
2024-02-09,187.60000610351562,26.657045364379883,71.66999816894531
2024-02-12,187.11000061035156,26.97333335876465,72.11000061035156
2024-02-13,184.52999877929688,25.58957862854004,72.6500015258789
2024-02-14,184.4199981689453,25.70818519592285,71.55000305175781
2024-02-15,185.66000366210938,26.459367752075195,72.83999633789062
2024-02-16,186.33999633789062,26.548322677612305,73.41000366210938
2024-02-20,187.47000122070312,26.67681312561035,72.41999816894531
2024-02-21,187.47999572753906,26.508787155151367,73.19999694824219
2024-02-22,187.55999755859375,25.8564453125,73.5999984741211
2024-02-23,188.6199951171875,26.350643157958984,71.91999816894531
2024-02-26,188.1999969482422,25.94540023803711,72.79000091552734
2024-02-27,188.0,25.727954864501953,73.8499984741211
2024-02-28,188.33999633789062,25.48085594177246,73.62000274658203
2024-02-29,189.30999755859375,26.05412483215332,73.36000061035156
2024-03-01,192.88999938964844,27.012868881225586,74.95999908447266
2024-03-04,196.00999450683594,28.179176330566406,74.01000213623047
2024-03-05,197.19000244140625,28.327436447143555,73.44999694824219
2024-03-06,198.80999755859375,28.82163429260254,74.33999633789062
2024-03-07,199.94000244140625,29.26641273498535,74.2300033569336
